id,sentence,M,R,S,W
1337_7, 關於 練習 地方 和 時間 ， 因為 放學 後 ， 我們 班 的 學生 都 有 打工 ， 所以 沒有 時間 大家 一起 集合 練習 。,1,0,0,0
1337_8, 所以 我 想 請 老師 一 個 事情 。,1,0,1,0
1337_9, 每 天 上課 的 最後 十 分鐘 ， 老師 是否 可 給 我們 時間 ？,1,0,0,0
1337_10, 能否 修 把 我們 的 中文 發音 ？,0,1,1,0
1337_13, 大家 應該 可以 唱歌 。,0,0,1,0
1337_15, 但 可能 同學們 不 知道 朋友 歌詞 ， 是否 可 在 國語 中心 複印 ？,1,0,0,0
1338_5, 請 他 拉 二胡 、 其他 的 同學 們 唱歌 的話 ， 我 覺得 很 精采 。,1,0,0,0
1338_6, 現在 我 計畫 的 練習 方法 ， 是 我們 決定 唱 什麼 歌 以後 ， 先 各人 練習 唱歌 ， 大概 ２ 個 禮拜 以後 練習 合唱 。,0,0,0,1
1338_7, 合唱 練習 是 一 個 禮拜 兩 次 ， 兩 個 小時 。,1,0,0,0
1338_12, ３ 首 歌 是 我們 已經 會 唱 的 流行歌 ， 另外 ３ 首 歌 是 我 覺得 傳統 的 中文 歌 比較 有意思 ， 但是 我們 不 熟 傳統 的 中文 歌 ， 所以 請 您 幫 我們 選 傳統 的 中文 歌 。,0,0,1,0
1338_13, 請 您 告訴 國語 中心 準備 ２ 只 麥克風 ， 一 個 椅子 。,0,0,1,0
1338_15, 表演 的 當天 我們 用 這些 東西 。,1,0,0,0
1339_2, 昨天 您 告訴 我們 在 新年 晚會 要 表演 節目 ， 所以 張小春 寫信 給 您 ， 是 因為 想 解釋 自己 的 意見 。,0,0,1,0
1339_3, 張小春 每 年 參加 很多 各 種 各 樣 的 活動 ， 所以 比較 了 解 晚會 的 活動 。,0,0,1,0
1339_4, 對 張小春 來 說 ， 跳舞 的 節目 最 好 ， 因為 參加 晚會 的 人 大部分 都 是 年輕人 ， 所以 應該 很 喜歡 看 這 種 的 表演 ， 其實 每 個 人 對 國外 的 文化 有趣 。,1,1,1,0
1339_5, 但是 普通 的 跳舞 不行 ， 應該 要 選 一 個 國家 的 傳統 舞蹈 ， 比如說 選擇 印度 的 舞蹈 。,0,0,1,0
1339_6, 因為 先 要 瞭解 一下 印度 的 文化 ， 所以 跟 表演 的 人 要 告訴 印度人 的 習慣 、 文化 、 傳統 。,0,1,0,1
1339_7, 他們 最少 要 練習 一 個 月 ， 因為 動作 比較 難 ， 所以 要 好好 的 準備 。,0,0,1,0
1339_8, 地點 就 是 一月 二十日 。,0,0,1,0
1339_9, 老師 ， 張小春 希望 您 幫助 我們 ： 解釋 印度人 的 文化 、 習慣 、 傳統 ； 集合 想 參加 的 人 ； 跟 表演 的 人 ， 告訴 表演 的 情形 。,1,0,1,0
1339_10, 張小春 非 國語 中心 的 幫 不可 ， 一定 要 請 他們 幫 買 制服 ， 晚會 的 時候 請 他們 提供 飲食 。,0,0,1,0
1339_11, 因為 學生 不 想 根本 浪費 錢 買 制服 ， 因為 表演 節目 後 ， 他們 不要 再 用 ， 但是 國語 中心 可以 每 年 跟 別的 學生 穿 。,1,0,1,1
1339_12, 老師 ， 張小春 希望 您 喜歡 的 意見 ， 如果 您 有 問題 問 ， 我 能 多 解釋 。,1,1,1,0
1339_13, 希望 吸引 很多 人 來 參加 新年 晚會 。,1,0,0,0
1340_5, 我 要 介紹 一下 我 的 想法 。,0,0,1,0
1340_8, 因為 ， 我們 的 上班 特別 有 很多 外籍 學生 。,1,0,0,1
1340_14, 如果 我們 每 天 練習 同學 的 母國 的 歌 ， 我們 的 關係 越來越 好 。,1,0,0,0
1340_18, 如果 你 有空 的話 ， 可不可以 看 我們 的 翻譯 ？,0,0,1,0
1340_19, 因為 ， 我們 非常 擔心 翻譯 的 錯 。,0,0,1,0
1340_20, 我們 學 中文 大概 半 年 。,1,0,0,0
1340_21, 我們 覺得 我們 會 翻譯 ， 從 我們 的 語言 到 很 好 的 中文 。,0,0,1,0
1340_22, 我們 要 練習 很多 時間 。,0,0,1,0
1340_23, 可是 ， 我們 錯 的話 ， 很 可惜 。,1,0,1,0
1340_25, 還 有 ， 表演 的 時候 ， 我們 用 電腦 。,1,0,0,0
1340_27, 因為 ， 我們 要 音樂 。,1,0,0,0
1340_28, 如果 您 要 說 您 的 意見 ， 明天 上課 的 時候 ， 請問 我 一下 。,0,1,1,0
1342_3, 需要 的話 ， 週末 也 可以 見面 。,1,0,0,0
1342_4, 由於 我 對 中文 歌 不 太 了解 ， 而且 不 知道 哪 種 歌 合適 新年 的 時候 唱 ， 因此 請 老師 幫 我們 選 一些 又 好聽 ， 又 不 太 難 的 歌 。,0,0,1,0
1342_7, 我們 當然 也 需要 合適 的 衣服 ， 不 知道 我們 國語 中心 ， 因為 那裡 工作人 的 經驗 很多 ， 可不可以 幫 我們 準備 民族 衣服 。,0,0,1,0
1342_8, 而且 我 也 想 向 國語 中心 請教 ， 有沒有 可以 給 我們 的 教室 ， 給 我們 下雨 的 時候 ， 機會 乾 地 練習 唱歌 。,1,0,1,0
1342_9, 我 希望 林 老師 也 覺得 我 的 建議 很 有意思 ， 讓 我們 一起 準備 從來 最 好 的 新年 晚會 表演 。,0,1,0,0
1343_1, 我 今天 寫給 你 的 信 ， 是 為了 新年 晚會 要 表演 寫 的 。,1,1,0,1
1343_4, 我 覺得 因為 新年 晚會 是 我們 學校 最 重要 的 一 個 晚會 ， 我們 選 的 節目 要 非常 精彩 。,1,0,0,0
1343_5, 我們 以前 跟 同學 們 花 了 不少 時間 討論 這 個 問題 ， 放過 一 分 努力 以後 ， 結果 我們 班 的 學生 唱歌 又 厲害 、 又 好聽 ， 所以 我們 總算 決定 要 表演 今天 妳 要 嫁給 我 這 首 歌 。,0,1,1,0
1343_7, 因為 表演 它 的 時候 ， 我們 會 發揮 很多 各 種 各 類 的 藝術 方面 。,1,0,1,0
1343_8, 例如 說 除了 唱歌 以外 ， 我們 也 可以 跳舞 、 裝 衣服 、 化妝 甚麼 的 。,0,0,1,0
1343_11, 因為 現在 已經 是 夏天 ， 我們 不 需要 在 裡面 練習 ， 反而 在 學校 前面 會 比較 涼快 ， 比較 舒服 。,1,0,0,0
1343_13, 要是 老師 沒有 那麼多 時間 的話 ， 因為 我們 知道 老師 要 負責 很多 事情 ； 我們 還是 要 請 老師 最少 告訴 我們 ， 喜不喜歡 我們 的 表演 。,0,0,1,0
1343_14, 我們 需要 學校 幫忙 的話 不會 很 大 ， 因為 我們 都 會 安排 。,0,0,1,0
1345_2, 經過 和 幾 個 同學 的 討論 ， 我 自己 認為 我們 這 一 班 演出 一 部 短劇 比較 好 。,0,0,1,0
1345_4, 我 相信 我們 的 中文 運用 能力 一定 會 更 好 ， 我 得 了 這 主意 之後 ， 覺得 除了 短劇 之外 ， 再 也 沒有 更 好 的 節目 ！,0,0,1,0
1345_6, 關於 練習 時間 和 地點 ， 我 想 利用 中午 休息 時間 的 最後 半 個 鐘頭 ， 這樣 的話 ， 一定 不會 打擾 大家 的 用餐 時間 ， 而且 一定 會 有 些 教室 可以 使用 吧 。,1,0,1,0
1345_10, 再者 ， 煩 請 幫 我們 糾正 中文 發音 和 對白 節奏感 ， 因為 這 部份 光 靠 自己 絕對 做 不 到 的 ， 我 也 非常 期待 欣賞 您 的 模範 演戲 ！,1,0,1,0
1345_11, 有關 這 部份 請 您 大概 一 個 禮拜 一 次 來 看 就 好 ， 我們 自己 也 一定 會 努力 的 ！,0,0,0,1
1345_12, 另外 ， 想要 請 國語 中心 承認 我們 中午 時間 在 教室 裡 練習 ， 還 要 請 他們 對 外 保密 我們 的 戲劇 內容 ， 以便 讓 新年 晚會 內容 更 又 神秘 又 有趣 ！,0,1,1,0
1345_13, 希望 老師 同意 這 意見 ， 並 諒解 我們 情形 ， 非常 感謝 ！,1,0,0,0
1346_1, 我 跟 我 同學 們 已經 討論 今年 的 新年 晚會 的 活動 ， 計劃 了 今年 我們 打算 舉行 一 場 綜藝 表演 ， 這 場 表演會 代表 各位 的 天分 ， 因為 有 些 同學 善於 音樂 或 跳舞 ， 所以 我們 希望 每 一 個 要 參加 這 場 的 學生 ， 能夠 做 他 的 最 拿手 的 表現 ，,1,1,1,0
1346_2, 我們 都 安排 了 練習 時間 和 地點 ， 每 週二四 下課 後 在 體育館 會 練習為 兩 個 小時 ， 所有 同學 們 都 發誓 會 很 努力 的 ， 再 加上 其他 常用 體育館 的 學生 都 同意 讓 我們 ， 不 擔心 被 別人 打擾 了 ，,1,1,0,0
1346_3, 我們 還 有 一 個 問題 ， 因為 新年 晚會 的 地點 是 在 本 校 發生 的 ， 我們 需要 校長 的 許可 ， 到 目前 為止 沒有 人 跟 校長 說 一 聲 ， 而 恐怕 他 會 拒絕 我們 所 要 的 一切 ， 如果 你 遇到 他 ， 拜託 你 提醒 她 今年 的 活動 快 到 了 吧 ，,0,1,1,0
1346_4, 你 能 這樣 幫忙 ， 我們 就 讓 我們 放心 一點 ，,1,1,1,0
1346_5, 最後 點 我 要 提出 ， 就 是 國語 中心 可以 做 的 事情 ， 我們 希望 可以 使用 一些 國語 中心 擁有 的 設備 ， 做 邀請 其他 系 的 學生 來 看 我們 的 表演 ， 一些 會 寫 得 很 漂亮 字 的 學生 設計 一 張 表演 通知 ， 但 他們 要 影印 那麼多 ， 發給 別人 ， 這 場 不 只 是 為 我們 的 系 享受 ， 也 是 為 所有 本 校 的 同學 ，,1,1,1,0
1346_6, 我們 都 希望 這 次 新年 晚會 過 得 很 順暢 ， 也 比 去年 的 更 精彩 ！,1,0,1,0
1347_1, 我 知道 國語 中心 有 計畫 要 辦 新年 晚會 ， 我 非常 感動 老師 們 貼心 安排 ， 也 很 佩服 老師 們 細心 地 打聽 我們 學生 的 意見 ， 於是 我 表達 我 的 想法 ， 以便 老師 們 方便 規劃 。,0,1,1,0
1347_2, 因為 我們 國語 中心 有 世界 各 地 的 學生 ： 如 美洲 、 亞洲 、 太洋洲 等等 ， 因此 我 認為 我們 的 晚會 應該 要 表現出 各 地 的 特色 為主 目的 ， 這樣 不但 促進 學生 之間 的 交流 ， 也 能 讓 每 一 個 人 感受到 彼此 的 文化 至於 我 希望 大家 都 準備 一 項 能夠 代表 自己 文化 的 表演 節目 ： 如 民族 舞蹈 、 民謠 等 。,0,1,1,0
1347_3, 因為 大家 都 很 忙 ， 而 很 難 抽出 時間 練習 ， 所以 我 想 先 建立 大家 共用 的 聊天室 在 國語 中心 的 網頁 裏 ， 再 討論 練習 的 方式 、 地點 等 ， 也 要 選出 一 、 二 位 小組 代表 ， 這樣 比較 好 調整 。,0,0,1,1
1347_4, 於是 我 希望 老師 給 我們 提供 學生 的 電子 郵件 信箱 ， 以 我們 方便 連絡 大家 建立 聊天室 。,0,0,1,0
1347_6, 我 也 相信 大家 都 自己 的 家鄉 菜 為榮 ， 所以 我 想 我們 帶 至少 一 項 祖國 料理 與 別人 分享 ， 這樣 使 我們 的 晚會 更 有 特色 。,1,0,0,0
1347_7, 我 請問 國語 中心 幫 我們 準備 一些 道地 的 台灣 菜 嗎 ？,1,0,0,0
1348_3, 對 我們 班 來 說 ， 最 好 的 表演 是 唱 一 首 中文 歌 的 表演 。,0,1,0,0
1348_6, 我們 覺得 這樣 不錯 吧 。,0,1,0,0
1348_10, 我們 班 希望 老師 可以 幫 我們 訂 地下室 ， 因為 學校 有 跟 借 教室 有 關係 的 規定 。,0,0,1,0
1348_11, 學校 說 如果 我們 放學 以後 想要 用 一 間 教室 ， 我們 先 要 去 總務組 借 教室 、 填 申請表 、 給 他們 原因 為什麼 我們 要 借 教室 、 等等 。,0,0,1,1
1348_12, 其實 ， 這樣 很 麻煩 但是 我們 覺得 如果 有 老師 的 幫忙 ， 借 教室 可能 會 比較 順利 也 方便 。,1,0,0,0
1348_14, 我們 可能 只要 找 一 個 人 可以 幫 我們 給 大家 介紹 我們 的 表演 ， 因為 表演 以前 我們 全 班 都 要 一起 準備 ， 所以 沒有 人 可以 做 這 件 事 ， 不過 ， 除了 這 件 之外 ， 我們 班 可以 自己 準備 東西 。,1,0,1,0
1348_15, 老師 ， 如果 您 同意 我們 班 的 想法 ， 我們 可以 馬上 找 一 首 歌 我們 可以 唱 喔 ！,0,0,1,0
1349_2, 上 個 星期 你 跟 我們 講 ， 我們 的 班 舉行 一 個 表演 。,1,0,1,0
1349_5, 我 知道 這 個 表演 看起來 很 普遍 ， 不過 我 相信 我們 班 可以 做 一 個 很 特別 的 表演 。,0,0,1,0
1349_8, 我們 可以 練習 每 個 星期二 、 三 、 五 ， 在 圖書館 七樓 。,0,0,0,1
1349_9, 我們 可以 練習 晚上 ３點 －６點 。,1,0,1,0
1349_10, 我 希望 老 可以 幫 我們 練習 。,0,0,1,0
1349_11, 我 希望 ， 在 練習 的 時候 老師 也 在 ， 跟 我們 講 我們 表演 怎麼 可以 更 好 。,1,0,1,0
1349_12, 因為 我 覺得 ， 如果 老師 跟 我們 練習 的 時候 ， 大家 都 會 努力 ， 不 讓 老師 失望 。,1,0,0,0
1349_13, 我 也 希望 國語 中心 也 可以 幫 我們 。,0,1,0,0
1349_15, 如果 老師 同意 這 個 想法 ， 我們 可以 開始 練習 。,1,0,0,0
1351_2, 關於 新年 晚會 的 節目 ， 我們 的 班 想 日本 傳統 民族 跳舞 。,1,0,1,0
1351_5, 而且 ， 她 對 日本 跳 有 研究 。,0,0,1,0
1351_8, 練習 時間 是 １月 ５日 晚上 ７點 開始 。,1,0,0,0
1351_14, 可是 ， 我 覺得 每 一 個 班 都 沒有 禮貌 。,1,0,0,0
1351_17, 我 覺得 好像 大家 都 分享 高興 不如 只有 吃 喝 快樂 。,1,0,1,1
1351_18, 我 覺得 很 遺憾 。,1,0,0,0
1351_19, 我 覺得 關於 我們 的 節目 ， 老師 不 需要 我們 的 忙 。,1,0,0,0
1351_20, 為了 我們 ， 老師 每 天 都 準備 很多 教材 ， 還 有 ， 有時候 ， 幫 我們 的 忙 。,1,0,0,0
1351_21, 我們 的 班 真的 感謝 您 。,1,1,0,0
1351_22, 因此 、 您 新年 晚會 的 時候 ， 只有 看 我們 的 表演 就 可以 。,1,0,1,0
1351_25, 我們 應該 需要 光碟 的 機器 。,1,0,0,0
1351_27, 我們 好好兒 地 準備 節目 。,1,0,0,0
1352_3, 三 位 同學 從 泰國 來 ， 四 位 從 越南 來 ， 還 有 三 位 從 印尼 ， 所以 各 國 都 有 自己 的 舞蹈 的 風格 。,1,0,0,0
1352_6, 我 希望 我們 的 表演 ， 一定 對 觀眾 留下 很 深刻 的 印 。,0,1,0,0
1352_7, 至於 練習 的 時間 ， 我 覺得 最 合適 的 時間 和 地點 ， 而 大家 會 有空 和 方便 就 是 我們 上完 華語課 ， 在 國語 中心 一樓 ， 大概 八點十 分鐘 見面 。,1,0,1,0
1352_8, 另外 ， 是 我們 需要 老師 的 幫忙 ， 是 請 幫 我們 修改 講義 的 語法 ， 是否 正確 的 中文 ？,1,1,0,0
1352_9, 內容 是 關於 舞蹈 的 前來 和 文化 的 內涵 ， 然後 當場 發給 觀眾 。,0,0,1,0
1352_10, 在 表演 當中 ， 我們 希望 老師 的 鼓勵 為 了 讓 大家 加油 。,1,0,0,1
1352_11, 最後 ， 請 老師 幫忙 我們 告訴 國語 中心 ， 幫 我們 設定好 的 錄音檔 裡面 有 三 個 國家 的 音樂 ， 以及 讓 他們 做 廣告 ， 鼓勵 大家 來 參加 這 個 活動 ， 而 提供給 他們 關於 食物 的 方面 ， 他們 可 不可 準備 各 國 的 美味 佳餚 ？,1,1,1,0
1352_14, 請 老師 敬請 參考 。,0,0,1,0
1354_1, 老師 好 ， 我 是 張小春 ， 關於 新年 晚會 的 事情 ， 我們 班 從 上 個 月 到 現在 還 在 討論 。,1,0,0,0
1354_2, 每 個 人 都 很 認真 地 提出 了 很多 的 不同 的 想法 ， 然後 我 用 投票 的 方式 選 了 幾 個 好看 節目 。,1,0,0,0
1354_3, 而且 我們 有 討論到 很多 方面 的 問題 ， 才 決定 的 ， 因為 我們 覺得 現在 社會 的 競爭力 都 很 強 ， 所以 很多 人 都 對 自己 必 做 的 事情 要 很 努力 。,0,1,1,0
1354_4, 例如 ： 現在 的 科技 發展 的 速度 非常 地 快 ， 硬體 與 軟體 的 東西 越來越 發達 ， 必須 每 天 要 動 頭腦 ， 另外 像 國中 與 高中生 都 為 了 考試 幾乎 每 天 熬夜 讀書 。,0,0,1,1
1354_5, 用 社會 的 發展 方面 來 看 ， 這 是 很 好 ， 可是 用 個人 的 角度 來 看 ， 這 是 對 人類 的 身體 不 好 ， 壓力 都 很 大 。,1,1,1,0
1354_6, 因此 我們 決定 用 這 個 新年 晚會 的 機會 ， 為 了 減少 人家 的 壓力 ， 我 準備 了 一些 搞笑 的 表演 與 唱歌 ， 以及 許多 的 好玩 的 遊戲 。,0,0,1,0
1354_8, 討論完 了 以後 ， 我們 也 同時 約好 了 我們 練習 時間 與 地點 。,1,0,0,0
1354_9, 可是 我們 目前 找 不 到 一 個 好 的 地方 ， 所以 我們 有 一 個 問題 請 您 幫 我們 決定 ， 這 就 是 每 天 下課 以後 ， 我們 教室 可不可以 借 我們 兩 個 小時 ， 如果 可以 的話 ， 我們 真的 會 很 感謝 您 。,1,1,1,0
1354_10, 還 有 一 個 問題 ， 就 是 請 老師 幫 我們 注意 一下 我們 的 中文 發音 ， 這 個 也 很 重要 ， 因為 我們 學 中文 沒 多久 ， 一定 會 有 多多少少 的 發音 問題 ， 這 兩 個 就 拜託 你 了 。,1,1,0,1
1354_13, 聽說 下 禮拜三 五月天 要 來 我們 學校 表演 ， 可不可以 我們 幾 個 人 上去 跳舞 ？,1,0,0,0
1354_14, 要是 可以 的 話 ， 實在 太 棒 了 ， 可是 我們 怕 機率 很少 ， 沒關係 我們 都 有 準備 ， 只是 如果 都 有 經驗 的話 會 更 完美 ！,1,1,1,0
1354_15, 用 每 個 人 的 全心 來 準備 的 ， 希望 您 會 喜歡 。,0,0,1,0
1356_5, 但是 有的 同學 看 我們 來 表演 中華 文化 裡面 的 傳統舞 、 音樂 ， 有的 覺得 我們 可以 選 些 同學 來 講演 ； 既然 我們 有 二十 分鐘 的 時間 ， 所以 我 勸 我們 選 一 個 同學 來 講演 也 準備 短 表演 。,1,0,1,0
1356_6, 這樣 最 好 ， 比較 適合 大家 的 意見 。,0,0,1,0
1356_7, 為了 準備 講演 這 方面 ， 我們 只 需要 跟 您 請教 同學 寫 了 的 講演 對 不 對 ， 改錯 的 地方 。,0,1,1,0
1356_9, 表演 的 同學 說 週末 的 時候 對 他們 比較 方便 ， 所以 請 您 幫 我 安排 地場 、 時間 。,1,0,1,0
1358_1, 由於 新年 快 到 了 ， 我 認為 國語 中心 得 舉辦 一 個 難忘 的 新年 晚會 給 學生 。,0,0,0,1
1358_3, 這些 節目 會 讓 從 不同 國家 的 學生 了 解別 的 國家 的 文化 及 生活 習慣 。,0,1,0,0
1358_4, 這些 節目 也 是 一 個 好 機會 給 同學 們 介紹 他們 貴國 的 文化 與 美術 。,0,0,1,0
1358_5, 為了 晚會 節目 精采 有趣 ， 參加 表演 的 應該 需要 練習 。,1,0,0,0
1358_6, 我 覺得 從 這 個 星期 ， 每 週五 至 週六 晚上 ６點 在 國語 中心 演講廳 練習 。,1,0,0,0
1358_7, 我 希望 老師 能 幫 我們 跟 本 校 解釋 我們 的 計畫 還 有 我們 的 要求 ， 就 是 借 演講廳 。,0,0,1,0
1358_8, 另外 也 希望 老師 會 領導 我們 ， 因為 老師 的 鼓勵 跟 意見 對 我們 很 重要 ， 而且 會 使 我們 有 團隊 精神 。,0,0,1,0
1358_9, 我們 也 希望 國語 中心 願意 借給 我們 演講廳 用來 練習 ， 因為 我們 實在 沒有 經費 租 地方 。,0,0,1,0
1358_10, 我們 也 需要 國語 中心 幫 我們 準備 表演 設備 如 ： 音效 、 電燈 、 椅子 、 等 ， 希望 我 的 意見 有用 和 有趣 。,1,0,0,0
1359_2, 據 我 所 知 ， 同學 們 很 愛 唱歌 、 跳舞 ， 他們 也 很 有 演戲 的 天份 ， 所以 表演 音樂劇 絕對 是 一 個 可以 讓 他們 發揮 所 能 的 機會 。,1,0,0,0
1359_6, 因為 我們 多多少少 會 寫出 很 無厘頭 的 想法 以及 語法 ， 也 怕 故事 內容 不 適合 在 學校 裡 演出 ， 所以 希望 老師 可以 幫 我們 更改 一下 腳本 。,0,0,1,0
1359_7, 我們 需要 國語 中心 可以 幫 我們 布置 現場 ， 也 幫 我們 準備 表演 的 道具 以及 其他 的 音樂 設備 。,0,1,0,0
1360_4, 每 一 個 同學 都 努力 地 參加 上課 ， 老師 也 很 有意思 。,0,0,1,0
1360_8, 我們 可以 用 那 種 成語 做 一 個 故事 。,0,0,1,0
1360_10, 如果 用 成語 做 故事 的話 ， 幫 我們 提高 國語 程度 ， 而且 觀眾 也 可以 容易 地 了 解成語 。,1,0,1,0
1360_12, 我們 可以 做 三 、 四 個 故事 以後 ， 把 幾 個 成語 放 在 那 個 內容 裡面 就 好 了 。,0,0,1,0
1360_15, 靈岱 的 表情 表演 很 酷 ， 她 可以 表演 女 主角 。,0,1,1,0
1360_18, 可是 他們 都 是 從不 一樣 的 科系 來 的 ， 所以 可能 一點 麻煩 找 大家 都 合適 的 時間 。,1,0,1,1
1360_19, 老師 ， 我們 可不可以 用 我們 上課 時間 ？,1,0,0,0
1360_20, 我們 有 一共 三 個 小時 的 上課 時間 ， 第一 跟 第二 堂 課 讀書 ， 然後 用 第三 課 練習 表演 ， 你 覺得 如何 ？,1,0,0,1
1360_21, 我 覺得 準備 表演 也 是 一 種 很 好 的 讀書 辦法 ， 請 你 考慮 好好 吧 。,0,0,0,1
1360_23, 特別 是 三樓 的話 ， 沒有 人 那麼多 ， 也 很 大 。,0,0,0,1
1360_25, 我們 的 文法 ， 還是 口語 ， 我 覺得 不 太 好 ， 我們 的 劇本 上 應該 有 好多 錯誤 。,1,1,1,0
1361_1, 關於 下 個 月 的 新年 晚會 ， 我們 的 班 覺得 舉辦 一 個 歌舞 表演 是 最 好 的 節目 。,0,0,1,0
1361_6, 練習 的 時間 可以 安排 每 個 禮拜三 下午 四點 在 六樓 的 演講廳 嗎 ？,1,0,0,0
1364_1, 我們 的 班 決定 寫 這 封 信 給 您 ， 因為 我們 想 問 您 幫助 我們 做 一 件 事情 。,0,0,1,0
1364_3, 我們 很 高興 ， 因為 這 是 一 個 很 有意思 的 活動 ， 讓 我們 練習 說 中文 ， 還 有 習慣 台灣 的 文化 。,1,0,1,0
1364_5, 我們 想 如果 我們 選擇 在 這 個 表演 跳舞 ， 會 是 一 個 非常 好 的 節目 。,0,0,1,0
1364_6, 我們 從來 都 對 亞洲 的 文化 很 有 興趣 ， 因 很 特別 ， 跟 西方 不 一樣 。,1,0,1,0
1364_7, 所以 我們 不但 在學 中文 ， 也 要 學 很多 的 台灣 跟 中國 文化 ， 例如 跳舞 ， 唱歌 ． ． ． 我們 覺得 這 個 表演 就 是 一 個 很 好 的 機會 ， 因為 我們 可以 學 跳 ， 然後 讓 學校 的 老師 跟 台灣 朋友 看 我們 也 會 跳 台灣 跟 中國舞 ， 我們 覺得 這 是 最 好 的 節目 ， 就 決定 這樣 做 。,1,0,1,0
1364_9, 我們 打算 每 天 下課 以後 ， 還 在 我們 的 教室 裡 練習 ， 因為 是 很 安靜 的 地方 。,1,1,0,0
1364_11, 可是 ， 因為 我們 都 是 外國 學生 ， 再 說 我們 都 還 沒 學 中國 或 台灣舞 ， 所以 我們 需要 一 個 台灣 的 老師 教 我們 怎麼 跳 。,0,0,1,0
1364_14, 還 有 麻煩 您 問 中心 的 工人 可不可以 把 一 台 電視機 跟 一些 錄影帶 借給 我們 。,0,0,1,0
1364_15, 我們 可以 看看 以前 的 晚會 怎麼樣 ， 還 有 跳舞 應該 怎麼辦 ， 應該 準備 什麼 。,1,0,1,0
1364_16, 這 件 事情 會 讓 我們 比較 放心 ， 也 比較 有 自信 。,0,1,0,0
1366_5, 我們 同學 們 用 這 封 信 告訴 你 。,1,1,0,0
1366_6, 我們 一起 決定 寫 一 個 戲劇 表演 ； 它 的 名字 是 ： 愛 在 台灣 。,0,0,1,0
1366_9, 所以 我們 想 得很 ， 才 決定 表演 什麼 最 好 。,1,0,1,0
1366_10, 這 個 節目 已經 寫好 了 ， 大家 一定 都 喜歡 ！,1,0,1,0
1366_13, 所以 以後 我們 會 麻煩 你 來 看 我們 故事 怎麼樣 ， 也 可以 幫 我們 改錯 。,1,0,1,0
1366_14, 我 知道 用 中文 做 這樣 的 事情 是 很 辛苦 。,1,0,0,0
1366_15, 可是 俗話說 ： 吃 得 苦 中 苦 ， 方 為 人 上 人 ， 有 辛苦 ， 沒關係 ， 以後 我們 的 中文 會 說 得 很 好 ， 好像 台灣人 一樣 。,0,0,1,0
1366_16, 希望 老師 會 幫 我們 很多 忙 。,0,0,1,0
1366_17, 告訴 我們 什麼 會 讓 台灣人 笑 ， 什麼 會 讓 他們 哭 ， 什麼 會 讓 我們 的 表演 更 有意思 ， 還 有 給 我們 你 自己 的 想法 。,0,0,1,0
1366_19, 卡內喬 張小春 老師 敬上,0,1,0,0
